word,translation,example,level
fortsetzen,продолжать,"Wir müssen unsere Arbeit fortsetzen, bis sie fertig ist.",B1
der Arbeitnehmer,"работник, наемный работник",Die Rechte des Arbeitnehmers sind im Gesetz geschützt.,B1
die Bank,банк,"Ich muss morgen zur Bank gehen, um ein neues Konto zu eröffnen.",A1
die Distanz,"дистанция, расстояние",Die Distanz zwischen den beiden Städten ist nicht sehr groß.,B1
erst,"только что, сначала",Ich bin erst vor einer Stunde angekommen.,A2
der Zirkus,цирк,Der Zirkus kommt nächste Woche in unsere Stadt und wir haben schon Karten gekauft.,A1
wirksam,эффективный,Diese neue Methode ist sehr wirksam bei der Behandlung von Krankheiten.,B2
tragen,носить,Er trägt eine blaue Jacke.,A2
ausrichten,"выравнивать, устраивать (мероприятие)",Wir wollen eine kleine Feier zu seinem Geburtstag ausrichten.,B1
die Ansage,"объявление, сообщение","Bitte hören Sie auf die Ansage am Bahnhof, um Ihren Zug nicht zu verpassen.",B1
kein,"никакой, ни один","Es gibt kein Problem, wenn du zu spät kommst.",A1
sympathisch,"симпатичный, приятный",Er ist ein sehr sympathischer Mensch.,A2
das Denkmal,памятник,Das Denkmal erinnert an die Opfer des Krieges.,B1
die Halbpension,полупансион,Im Hotel ist die Halbpension bereits im Preis inbegriffen.,A2
kommen,приходить,Wann wirst du endlich kommen?,A1
die Adresse,адрес,"Können Sie mir bitte Ihre Adresse geben, damit ich Ihnen die Einladung schicken kann?",A1
begeistert,восторженный,Sie war sehr begeistert von der neuen Ausstellung.,B1
die Bedingung,условие,Die wichtigste Bedingung für den Erfolg ist harte Arbeit.,B1
enden,заканчиваться,Der Film endet mit einer überraschenden Wendung.,A1
die Kriminalpolizei,криминальная полиция,Die Kriminalpolizei ermittelt in diesem Fall.,B2
links,слева,Der Eingang befindet sich auf der linken Seite.,A1
hungrig,голодный,Nach der langen Wanderung waren wir sehr hungrig.,A1
reflektieren,"размышлять, отражать","Nach einem langen Tag nehme ich mir Zeit, über meine Erlebnisse zu reflektieren.",B2
willkommen,добро пожаловать,Herzlich willkommen in unserem Haus!,A1
das Fleisch,мясо,Für das Abendessen bereiten wir ein saftiges Stück Fleisch vom Grill zu.,A1
die Gefahr,опасность,"Man sollte immer auf die Gefahr achten, wenn man in unbekannten Gebieten unterwegs ist.",A2
gegenüber,напротив,Das Geschäft gegenüber hat heute geschlossen.,A2
das Bild,"картина, изображение",Das Bild an der Wand ist sehr schön und farbenfroh.,A1
die Bahn,"поезд, железная дорога","Ich fahre lieber mit der Bahn als mit dem Auto, weil es entspannter ist.",A1
die Gratulation,поздравление,Ich möchte dir meine aufrichtige Gratulation zu deinem Erfolg aussprechen.,A2
finden,"находить, считать",Ich kann meinen Schlüssel nicht finden.,A1
die Minderheit,меньшинство,Die Minderheit der Bevölkerung stimmte gegen den Vorschlag.,B1
verkaufen,продавать,Wir wollen unser altes Auto verkaufen und uns ein neues kaufen.,A2
die Beschreibung,описание,Die Beschreibung des Produkts war sehr detailliert.,A2
manch,некоторый,"Manch einer hat die Hoffnung schon aufgegeben, aber wir kämpfen weiter.",B1
die Kabine,кабина,"Die Umkleidekabine war klein, aber sauber und gut ausgestattet.",A2
blühen,цвести,Im Frühling beginnen die Kirschbäume wunderschön zu blühen.,A2
der Film,фильм,Wir haben gestern Abend einen spannenden Film im Kino gesehen.,A1
die Mobilbox,голосовая почта (мобильного телефона),"Bitte hinterlassen Sie eine Nachricht auf meiner Mobilbox, wenn ich nicht erreichbar bin.",B1
besonders,особенно,Dieses Buch hat mir besonders gut gefallen.,A2
das Netzwerk,сеть,Ein gutes berufliches Netzwerk kann bei der Jobsuche sehr hilfreich sein.,B1
das Fest,праздник,Wir freuen uns schon auf das große Stadtfest im Sommer.,A2
annehmen,принимать,Ich werde dein Angebot gerne annehmen.,B1
das Brötchen,булочка,Zum Frühstück gab es frische Brötchen mit Butter und Marmelade.,A1
zwischen,между,Der Park liegt zwischen dem Fluss und der alten Stadtmauer.,A1
der Hamburger,гамбургер,Ich bestellte mir einen großen Hamburger mit Pommes frites.,A1
abholen,"забрать, встретить","Könntest du bitte die Kinder vom Kindergarten abholen, wenn du Feierabend hast?",A1
der Hinweis,"указание, подсказка","Der Hinweis auf der Karte half uns, den richtigen Weg zu finden.",A2
ändern,"менять, изменять","Wir müssen unsere Strategie ändern, um auf dem Markt erfolgreich zu sein.",A2
das Geld,деньги,Ohne Geld kann man heutzutage kaum noch etwas kaufen.,A1
merkwürdig,странный,"Das ist eine merkwürdige Geschichte, die du da erzählst.",B1
der Anwalt,адвокат,"Wenn Sie rechtliche Probleme haben, sollten Sie einen Anwalt konsultieren.",B1
die Tafel,доска,Der Lehrer schrieb die neue Vokabeln an die Tafel.,A1
der Monat,месяц,Wir haben für die Reise nur einen Monat Zeit.,A1
privat,"частный, личный",Er hat eine sehr private Angelegenheit zu besprechen.,B1
das Sofa,диван,Nach einem langen Tag lege ich mich gerne auf das Sofa und lese ein Buch.,A1
außer,кроме,"Alle sind gekommen, außer Peter.",A2
sich freuen,радоваться,Ich freue mich auf deinen Besuch.,A2
der Kuli,шариковая ручка,Ich habe meinen Kuli vergessen und muss mir einen neuen kaufen.,A2
sagen,сказать,"Kannst du mir bitte sagen, wie spät es ist?",A1
bald,скоро,"Wir hoffen, dass der Sommer bald kommt, damit wir wieder im See schwimmen können.",A2
die Gruppe,группа,Die Gruppe der Touristen besichtigte die historische Altstadt.,A1
der Angehörige,"родственник, близкий",Er hat seine kranken Angehörigen im Krankenhaus besucht.,B1
haben,иметь,"Ich habe keine Zeit, um jetzt zu warten.",A1
die Flasche,бутылка,Bitte bringe uns eine Flasche Wasser und zwei Gläser.,A1
die Nichte,племянница,Meine Nichte hat mir zum Geburtstag ein wunderschönes selbstgemaltes Bild geschenkt.,A1
hassen,ненавидеть,"Ich hasse es, wenn Leute unpünktlich sind.",A2
dekorieren,украшать,Wir werden das Wohnzimmer für die Party dekorieren.,A2
der Gegner,"противник, соперник","Im Sport ist es wichtig, einen fairen Gegner zu respektieren.",A2
neblig,туманный,"Heute Morgen war es sehr neblig, die Sicht war schlecht.",A2
wollen,хотеть,Ich will unbedingt diesen neuen Film sehen.,A1
die Eltern,родители,Meine Eltern haben mich immer sehr unterstützt.,A1
die Mauer,стена,Die alte Mauer umgibt den historischen Stadtkern.,A2
die Überzeugung,убеждение,"Seine tiefe Überzeugung von der Richtigkeit seiner Ideen motivierte ihn, weiterzumachen.",B2
das Wetter,погода,"Das Wetter ist heute wunderschön, perfekt für einen Spaziergang.",A1
der Handwerker,ремесленник,Ein erfahrener Handwerker hat die defekte Wasserleitung repariert.,A2
die Änderung,изменение,"Wir haben eine kleine Änderung am Plan vorgenommen, um ihn praktikabler zu machen.",B1
der Arbeitgeber,работодатель,Der Arbeitgeber hat den Mitarbeitern eine Gehaltserhöhung zugesagt.,A2
die Mehrheit,большинство,Die Mehrheit der Wähler entschied sich für die neue Partei.,B1
geradeaus,прямо,"Fahren Sie einfach geradeaus, bis Sie die nächste Ampel erreichen.",A1
gewinnen,выигрывать,"Sie hofft, das Spiel zu gewinnen.",A2
der Link,ссылка,"Klicken Sie auf diesen Link, um weitere Informationen zu erhalten.",B1
abheben,"снять (деньги), взлететь","Ich muss noch Geld von meinem Konto abheben, bevor wir einkaufen gehen.",B1
die Klinik,клиника,Er musste nach seinem Unfall in die Klinik gebracht werden.,A2
eigentlich,"собственно говоря, на самом деле","Eigentlich wollte ich heute Abend ins Kino gehen, aber jetzt bin ich zu müde.",A2
der Einbrecher,взломщик,"Die Polizei sucht nach dem Einbrecher, der in das Haus eingebrochen ist.",B1
der Polizist,полицейский,"Der Polizist half uns, den Weg zu finden, als wir uns verfahren hatten.",A1
der Einzel,единичный,Der Einzelhandel kämpft zunehmend mit dem Online-Handel.,B2
der Empfang,прием,Der Empfang im Hotel war sehr freundlich und zuvorkommend.,A2
die Dusche,душ,Nach dem Sport nehme ich gerne eine erfrischende Dusche.,A1
die Freude,радость,Die Freude über das bestandene Examen war riesig.,A2
baden,купаться,Im Sommer gehen wir oft im See baden.,A1
waschen,мыть,"Ich muss meine Hände waschen, bevor ich esse.",A1
das Konto,счет,"Ich muss dringend mein Bankkonto überprüfen, um zu sehen, wie viel Geld noch übrig ist.",A2
einmal,однажды,Ich war einmal in Paris und habe die Stadt sehr genossen.,A1
die Messe,"ярмарка, выставка",Wir besuchen jedes Jahr die Buchmesse in Frankfurt.,A2
cool,крутой,Das ist eine coole Idee!,A2
das Abonnement,подписка,Ich habe ein Abonnement für die Zeitung abgeschlossen.,B1
kostenlos,бесплатный,Viele Informationen im Internet sind kostenlos verfügbar.,A2
der Anzug,костюм,Er trug einen eleganten Anzug zu der Hochzeit.,A1
glatt,гладкий,Der Tisch ist aus poliertem Holz und fühlt sich sehr glatt an.,B1
das Laufwerk,дисковод,Das alte Laufwerk im Computer funktionierte nicht mehr richtig.,B1
die Ordnung,порядок,In meinem Arbeitszimmer herrscht immer eine gewisse Ordnung.,A2
die Tante,тётя,Meine Tante wohnt in einer kleinen Stadt am Meer.,A1
der Laptop,ноутбук,"Ich nehme meinen Laptop mit ins Café, um dort zu arbeiten.",A1
einschließlich,включая,"Das Angebot gilt für alle Produkte, einschließlich der Neuheiten.",B2
das Problem,проблема,"Wir müssen eine Lösung für dieses dringende Problem finden, bevor es sich weiter verschlimmert.",A1
drei,три,Wir haben drei wichtige Punkte auf unserer Tagesordnung.,A1
die Presse,пресса,Die Presse berichtete ausführlich über die neuesten politischen Entwicklungen.,B1
weiter,дальше,Nach dem Mittagessen gehen wir weiter in den Wald.,A2
drin,внутри,"Es ist kalt draußen, lass uns lieber drin bleiben.",A2
die Präsentation,презентация,Die Präsentation des neuen Projekts fand vor der gesamten Belegschaft statt.,B1
illegal,нелегальный,Der Handel mit geschützten Arten ist illegal.,B2
beantragen,"подавать заявление, запрашивать",Ich möchte einen Kredit beantragen.,B1
das Bad,"ванная комната, купание","Ich gehe jetzt ins Bad, um mich frisch zu machen.",A1
ansehen,"смотреть, рассматривать",Ich möchte mir diesen Film gerne ansehen.,A2
der Boden,"пол; земля, почва",Der Boden im Wohnzimmer ist mit Teppich ausgelegt.,A2
der Flug,рейс,Unser Flug nach Mallorca geht morgen früh.,A2
die Karotte,морковь,Kaninchen fressen gerne Karotten.,A1
mehrere,несколько,Es gab mehrere Gründe für seine Entscheidung.,A2
damals,тогда,Damals war alles einfacher.,A2
die Lage,положение,Die günstige Lage des Hauses in der Nähe des Parks ist ein großer Vorteil.,B1
kritisieren,критиковать,"Es ist leicht, andere zu kritisieren, aber schwer, selbst perfekt zu sein.",B1
die Apotheke,аптека,"Ich muss noch in die Apotheke, um Medikamente zu kaufen.",A1
ja,да,"Ja, ich komme gerne zur Party.",A1
aussteigen,выходить (из транспорта),Wir müssen an der nächsten Haltestelle aussteigen.,A1
die Chance,шанс,"Das ist eine großartige Chance, die du nicht verpassen solltest.",A2
kalt,холодный,"Es ist heute sehr kalt draußen, zieh dich warm an.",A1
erreichen,достигать,Mit harter Arbeit kann man seine Ziele erreichen.,A2
bestehen,"существовать, состоять",Diese Regel besteht schon seit vielen Jahren.,B1
das Deutschland,Германия,Deutschland ist ein Land in Mitteleuropa.,A1
die Kinder,дети,Die Kinder spielen fröhlich im Garten.,A1
die Verspätung,"опоздание, задержка",Wegen des starken Regens gab es eine Verspätung im Bahnverkehr.,A2
das Ballett,балет,Wir haben Karten für das Ballett im Opernhaus gekauft.,A2
billig,дешевый,"Diese Tasche war sehr billig, aber trotzdem von guter Qualität.",A2
die Pflanzen,растения,Im Frühling pflanzen wir neue Blumen in den Garten.,A2
giftig,ядовитый,"Manche Pilze sehen harmlos aus, sind aber giftig.",B1
die Erwachsene,взрослый,Kinder müssen in Begleitung eines Erwachsenen ins Museum.,A2
füttern,кормить,Wir müssen die Tiere im Zoo regelmäßig füttern.,A2
wie,как,Wie geht es dir heute?,A1
das Billard,бильярд,Am Wochenende spielen wir oft Billard im Park.,B1
die Erzählung,"рассказ, повествование",Seine Erzählung über seine Reise war sehr spannend.,B1
fürchten,бояться,Sie fürchtet sich vor Spinnen.,B1
sorgfältig,тщательно,Sie hat die Aufgabe sorgfältig erledigt.,B1
der Kompromiss,компромисс,"Um eine Einigung zu erzielen, mussten beide Seiten einen Kompromiss eingehen.",B1
benutzen,использовать,"Du kannst mein Fahrrad benutzen, wenn du möchtest.",A2
zuletzt,"последний, в последний раз","Zuletzt haben wir uns vor einem Jahr gesehen, das ist schon eine Weile her.",B1
reparieren,"чинить, ремонтировать","Mein Fahrrad ist kaputt, ich muss es dringend reparieren lassen.",A2
optimistisch,оптимистичный,Trotz der Schwierigkeiten bleibt sie optimistisch.,B1
der Migrant,мигрант,Der Migrant suchte nach einer neuen Heimat.,B1
entfernen,"удалять, убирать",Bitte entfernen Sie die alten Aufkleber von der Wand.,B1
ausfüllen,заполнять (формуляр),Bitte füllen Sie dieses Formular vollständig aus.,A1
jung,молодой,Die junge Frau hat gerade ihr Studium beendet.,A1
langweilen,"скучать, надоедать","Ich will mich nicht langweilen, also suche ich mir immer neue Hobbys.",A2
das Erdgeschoss,первый этаж,"Die Wohnung im Erdgeschoss ist besonders praktisch, da man keine Treppen steigen muss.",A1
vergleichen,сравнивать,"Man sollte verschiedene Angebote vergleichen, bevor man etwas kauft.",B1
das Hören,"слушание, слух",Das Hören von klassischer Musik kann entspannend wirken.,A1
die Auskunft,"справка, информация",Am Bahnhof habe ich nach dem Fahrplan gefragt und die Auskunft war sehr hilfreich.,A2
das Land,страна,"Er träumt davon, eines Tages ein fremdes Land zu bereisen.",A1
genug,достаточно,"Wir haben genug Zeit, um uns auf die Prüfung vorzubereiten.",A1
das E-bike,электровелосипед,Mit dem E-Bike kann man auch steile Berge erklimmen.,A2
die Mahlzeit,"прием пищи, еда",Wir haben eine köstliche Mahlzeit im Restaurant genossen.,A2
die Pommes,картофель фри,Zu meinem Burger bestellte ich eine große Portion Pommes.,A1
probieren,пробовать,Möchtest du mal von meinem Kuchen probieren?,A2
buchen,бронировать,Wir müssen noch die Flüge für unseren Urlaub buchen.,A2
möglichst,по возможности,"Versuche, möglichst bald zu antworten.",B1
lecker,вкусный,Das selbstgemachte Kuchenrezept meiner Oma ist immer sehr lecker.,A1
nie,никогда,Ich habe nie zuvor so etwas Schönes gesehen.,A1
das Kissen,подушка,"Ich lege mir gerne ein weiches Kissen in den Rücken, wenn ich auf dem Sofa sitze.",A1
die Leitung,"руководство, линия",Die technische Leitung des Projekts lag in seinen Händen.,B1
der Fleck,пятно,Ich habe versehentlich einen Rotweinfleck auf meinem neuen Hemd verursacht.,A2
die Ankunft,прибытие,Wir warten gespannt auf die Ankunft des neuen Produkts.,A1
abhängen,"зависеть, снять",Die Entscheidung über das neue Projekt wird vom Budget abhängen.,B1
ansprechen,"обращаться к кому-либо, затрагивать тему",Ich möchte dich auf ein wichtiges Thema ansprechen.,B1
bekommen,получать,"Ich hoffe, ich bekomme bald eine Antwort auf meine Bewerbung.",A1
der Vorname,имя,Bitte geben Sie Ihren Vornamen und Nachnamen auf dem Formular an.,A1
derselbe,тот же самый,Wir haben denselben Geschmack bei Musik.,B1
der Briefträger,почтальон,Der Briefträger hat heute Morgen die Post gebracht.,A2
spannend,"захватывающий, интересный",Der neue Krimi ist wirklich sehr spannend.,B1
heiraten,жениться/выходить замуж,Sie wollen nächstes Jahr heiraten.,A2
der Lebenslauf,резюме,Für die Bewerbung musste sie einen detaillierten Lebenslauf einreichen.,B1
betragen,составлять,Die Kosten für die Reparatur werden voraussichtlich 500 Euro betragen.,B1
die Notiz,заметка,"Ich habe mir eine kurze Notiz gemacht, um nichts zu vergessen.",A2
träumen,"мечтать, видеть сны","Ich träume davon, die Welt zu bereisen.",A2
vereinbaren,договариваться,"Wir müssen einen Termin vereinbaren, um die Details zu besprechen.",B1
gering,незначительный,Der Schaden am Auto war zum Glück nur gering.,B2
das Gebiet,"область, территория",Dieses Gebiet ist bekannt für seine reiche Tierwelt.,B1
formulieren,формулировать,"Es ist wichtig, seine Gedanken klar zu formulieren.",B1
das Zentrum,центр,Das neue Einkaufszentrum im Zentrum der Stadt ist sehr beliebt.,A2
das Leben,жизнь,Ein erfülltes Leben bedeutet für jeden Menschen etwas anderes.,A1
entdecken,"обнаруживать, открывать","Die Forscher hoffen, neue Planeten zu entdecken.",A2
bestellen,заказывать,Ich möchte gerne einen Tisch für zwei Personen bestellen.,A1
die Kette,цепь,Sie trägt eine goldene Kette um ihren Hals.,A2
erziehen,воспитывать,"Es ist wichtig, Kinder zu Geduld und Respekt zu erziehen.",B2
die City,центр города,"Wir treffen uns heute Nachmittag in der City, um einzukaufen.",B1
die Gemeinschaft,сообщество,Die Gemeinschaft in unserem Viertel ist sehr hilfsbereit und freundlich.,B1
lange,долго,"Wir haben lange über das Projekt diskutiert, bevor wir eine Entscheidung trafen.",A1
das Pferd,лошадь,"Das Kind träumt davon, eines Tages ein eigenes Pferd zu besitzen.",A1
einladen,приглашать,Wir möchten Sie herzlich zu unserer Geburtstagsfeier einladen.,A2
nein,нет,Ich möchte heute Abend nein sagen zu dieser Einladung.,A1
der Babysitter,няня,Wir suchen einen zuverlässigen Babysitter für unsere Kinder am Wochenende.,A2
die Linie,линия,Die rote Linie auf der Karte zeigt die geplante Route.,A2
Kranke,больные,Die Kranken in der Station brauchen besondere Aufmerksamkeit.,A2
funktionieren,"работать, функционировать",Mein Computer funktioniert heute leider nicht.,A2
anmachen,"включать, зажигать",Kannst du bitte das Licht anmachen? Es ist dunkel hier.,A2
das Telefon,телефон,"Mein altes Telefon ist kaputt, ich brauche bald ein neues.",A1
der Austausch,обмен,"Ein Schüleraustausch ist eine tolle Möglichkeit, eine neue Kultur kennenzulernen.",B1
frei,"свободный, бесплатный",Der Eintritt ist heute frei.,A2
die Bestätigung,подтверждение,Bitte sende mir eine Bestätigung per E-Mail.,A2
fremd,"чужой, незнакомый",Ich fühle mich in dieser Stadt noch etwas fremd.,A2
das Beispiel,пример,"Das ist ein gutes Beispiel dafür, wie man Probleme lösen kann.",A1
feststehen,"быть установленным, быть решенным","Es steht noch nicht fest, wann die Entscheidung getroffen wird.",B2
die Kantine,столовая,Das Mittagessen in der Kantine ist preiswert und lecker.,A2
die Müllabfuhr,вывоз мусора,Die Müllabfuhr kommt immer dienstags und freitags.,A2
die Mahnung,"напоминание, предупреждение",Er hat eine Mahnung für die offene Rechnung erhalten.,B1
rufen,"звать, кричать","Ich muss meine Freunde anrufen, um sie zu einer Party einzuladen.",A2
putzen,"чистить, убирать","Ich muss heute meine Wohnung putzen, bevor die Gäste kommen.",A1
der Plan,план,Wir haben einen detaillierten Plan für unseren Urlaub ausgearbeitet.,A2
sich irren,ошибаться,"Ich glaube, du irrst dich, das ist nicht richtig.",B2
der Passagier,пассажир,Alle Passagiere müssen ihre Bordkarten bereithalten.,A2
blind,слепой,"Der blinde Mann benutzte einen Stock, um sich zu orientieren.",A2
der Eintritt,вход,Der Eintritt in das Museum ist für Kinder unter 12 Jahren frei.,A2
der Stift,ручка,Kannst du mir bitte einen Stift leihen?,A1
mitteilen,сообщать,"Bitte teilen Sie mir mit, wann Sie Zeit haben.",B1
das Bett,кровать,Nach einem langen Tag lege ich mich gerne ins Bett.,A1
der Kuss,поцелуй,Sie gab ihm einen zärtlichen Kuss zum Abschied.,A1
der Reiseführer,путеводитель,Mit diesem Reiseführer können wir die wichtigsten Sehenswürdigkeiten der Stadt erkunden.,A2
die Metropole,"метрополия, мегаполис",Berlin ist eine pulsierende Metropole mit vielen Sehenswürdigkeiten.,B2
die Schülerin,ученица,Die Schülerin hat eine gute Note in Mathematik bekommen.,A1
entschuldigen,"извинять, просить прощения",Bitte entschuldigen Sie die Verspätung.,A1
das Glück,"счастье, удача",Ich wünsche dir viel Glück bei deiner Prüfung!,A1
aufhören,"прекращать, заканчивать","Wir müssen mit dieser Diskussion aufhören, sie führt zu nichts.",A2
die Burg,замок,Die alte Burg thront majestätisch auf dem Hügel.,A2
heimlich,тайный,Sie trafen sich heimlich in einem Café.,B1
das Kapitel,глава,Das nächste Kapitel des Buches verspricht spannend zu werden.,A2
die Fachleute,"специалисты, профессионалы","Die Fachleute sind sich einig, dass die neue Technologie die Industrie revolutionieren wird.",B1
die Besichtigung,"осмотр, экскурсия",Wir planen eine Besichtigung der historischen Altstadt.,A2
dankbar,благодарный,Ich bin dir sehr dankbar für deine Unterstützung.,A2
der Wein,вино,Zum Abendessen trinken wir gerne ein Glas Rotwein.,A1
einerseits,с одной стороны,"Einerseits ist die Arbeit anspruchsvoll, andererseits bietet sie viele Entwicklungsmöglichkeiten.",B1
das Dorf,деревня,In diesem kleinen Dorf gibt es nur wenige Geschäfte.,A1
die Angst,страх,"Er hat Angst vor Spinnen, seit er klein ist.",A2
gesund,здоровый,"Es ist wichtig, sich gesund zu ernähren und viel Sport zu treiben.",A1
das Gewürz,специя,Für dieses Gericht brauchen wir unbedingt ein scharfes Gewürz.,A2
der Kurs,курс,"Ich besuche einen Deutschkurs, um meine Sprachkenntnisse zu verbessern.",A2
anschließen,"подключать, присоединять",Du musst das Ladegerät an die Steckdose anschließen.,B1
der Intensivkurs,интенсивный курс,"Um schnell Deutsch zu lernen, belegte sie einen Intensivkurs.",A2
gucken,смотреть,"Kannst du mal aus dem Fenster gucken und sehen, ob es schon dunkel ist?",A2
Deutsch,немецкий (язык),"Ich lerne Deutsch, um in Deutschland studieren zu können.",A1
wünschen,желать,Ich wünsche dir alles Gute zum Geburtstag!,A2
die Qualität,качество,"Die hohe Qualität der Produkte hat uns überzeugt, wir werden wieder hier einkaufen.",A2
lang,длинный,"Der Weg zum Gipfel war lang und anstrengend, aber die Aussicht war es wert.",A1
die Band,группа (музыкальная),Die Lieblingsband meines Bruders spielt heute Abend in der Stadt.,A2
verstehen,понимать,"Ich hoffe, Sie verstehen, was ich meine.",A1
die Organisation,организация,Diese Organisation hilft Menschen in Not.,B1
der Gehsteig,тротуар,Bitte bleiben Sie auf dem Gehsteig und überqueren Sie die Straße nur an den dafür vorgesehenen Stellen.,A2
einig,некоторые,Einige meiner Kollegen sind bereits im Urlaub.,B1
die Nachricht,"новость, сообщение","Ich habe eine wichtige Nachricht für dich, die du unbedingt hören musst.",A1
die Pflaume,слива,Im Herbst ernten wir süße Pflaumen aus unserem Garten.,A1
das Geschlecht,пол,Das Geschlecht des Babys ist noch nicht bekannt.,B2
der Platz,место,"Es gibt noch freie Plätze im Kurs, wenn Sie sich schnell anmelden.",A1
prima,"отлично, превосходно",Das Essen im neuen Restaurant war prima.,A1
die Kneipe,пивная,Nach der Arbeit treffen wir uns oft in der gemütlichen Kneipe um die Ecke.,A2
das Angeln,рыбалка,"Am Wochenende gehe ich gerne angeln, um mich zu entspannen.",A2
gleichberechtigt,равноправный,Frauen und Männer sollten in allen Lebensbereichen gleichberechtigt sein.,B2
das Bein,нога,Nach dem Sturz hatte er Schmerzen im linken Bein.,A1
direkt,"прямой, непосредственно","Das Hotel liegt direkt am Strand, was sehr praktisch ist.",A2
auch,"тоже, также","Ich gehe auch ins Kino, wenn du möchtest.",A1
elektrisch,электрический,Das elektrische Licht funktionierte nicht mehr.,A2
ein,артикль неопределенный мужского/среднего рода,Ich habe ein neues Buch gekauft.,A1
verletzen,ранить,"Beim Sport kann man sich leicht verletzen, wenn man nicht aufpasst.",B1
praktisch,практичный,Ein Rucksack ist sehr praktisch für Reisen.,A2
scheinen,"светить, казаться",Die Sonne scheint heute sehr hell.,B1
schlecht,плохой,Die Qualität dieses Produkts ist schlecht.,A1
ausführlich,"подробный, обстоятельный",Sie gab eine ausführliche Erklärung zu dem Vorfall.,B1
beantworten,отвечать,Können Sie bitte meine Fragen beantworten?,A2
die Chefin,начальница,Meine Chefin hat mir heute ein wichtiges Projekt zugewiesen.,A1
der Autofahrer,водитель автомобиля,Der Autofahrer musste wegen des Staus eine Umleitung nehmen.,A2
der Baumarkt,строительный магазин,"Ich muss in den Baumarkt, um neue Werkzeuge zu kaufen.",A2
das Auto,автомобиль,Mein neues Auto ist sehr sparsam im Verbrauch.,A1
beginnen,начинать,Der Film beginnt um 20 Uhr.,A2
die Dame,"дама, леди",Die Dame im roten Kleid ist sehr elegant.,A2
farbig,цветной,Das neue Buch hat viele farbige Illustrationen.,B1
der Katalog,каталог,Ich habe den neuen Modekatalog bestellt.,A2
der Versuch,"попытка, эксперимент",Der Wissenschaftler führte einen neuen Versuch im Labor durch.,B1
pauschal,"единый, пакетный",Das Hotel bietet ein Pauschalangebot für Familien.,B2
zusammen,вместе,"Wir sollten diese Aufgabe zusammen erledigen, das geht schneller.",A2
das Gebirge,"горы, горный массив",Im Gebirge kann man im Sommer wunderbar wandern.,B1
der Inhalt,содержание,Der Inhalt des Buches war sehr spannend und informativ.,A2
enttäuschen,разочаровывать,Seine Leistung hat uns leider enttäuscht.,B1
die Post,почта,"Ich muss noch einen Brief zur Post bringen, bevor sie schließt.",A1
echt,"настоящий, действительно","Das ist echt ein tolles Angebot, das sollten wir uns nicht entgehen lassen.",A2
die Ermäßigung,скидка,Studenten erhalten eine Ermäßigung auf den Eintrittspreis.,A2
nett,"милый, приятный","Sie hat eine sehr nette Art, mit Menschen umzugehen.",A1
wahrscheinlich,вероятно,Wahrscheinlich werden wir morgen das Projekt abschließen.,A2
die Übersetzung,перевод,Die Übersetzung dieses Romans ins Englische war eine Herausforderung für den Literaturkritiker.,A2
der Junge,мальчик,Der kleine Junge spielte glücklich im Sandkasten.,A1
die Bitte,просьба,"Ich habe eine dringende Bitte an dich, könntest du mir helfen?",A1
je,чем... тем...,"Je mehr du übst, desto besser wirst du.",B1
üblich,обычный,"Es ist üblich, dass man sich die Hände wäscht, bevor man isst.",B1
klar,ясный,"Es ist klar, dass wir mehr Zeit brauchen.",A2
ausstellen,"выдавать (документ), выставлять (на показ)",Das Museum stellt eine neue Kunstsammlung aus.,A2
das Kaffeehaus,кофейня,Das alte Kaffeehaus in der Innenstadt ist bekannt für seinen exzellenten Kuchen.,A2
einschalten,включать,"Bitte schalten Sie das Licht ein, wenn Sie den Raum betreten.",A2
möbliert,меблированный,Die Wohnung ist komplett möbliert und sofort bezugsfertig.,B1
die Arbeit,работа,Nach einem langen Arbeitstag freue ich mich auf das Wochenende.,A1
der Müll,мусор,"Wir müssen den Müll richtig trennen, um die Umwelt zu schützen.",A1
schließen,закрывать,"Bitte schließen Sie die Tür, wenn Sie gehen.",A2
der Paradeiser,помидор (австрийское),Für den Salat brauchen wir noch frische Paradeiser.,A1
die Kollegin,коллега (жен.),Meine Kollegin hat mir bei der Präsentation sehr geholfen.,A1
die Öffentlichkeit,общественность,Die Meinung der Öffentlichkeit ist wichtig für die politische Entscheidungsfindung.,B2
chatten,общаться в чате,Wir chatten oft online miteinander.,A2
der Kampf,борьба,Der Kampf gegen den Klimawandel erfordert globale Anstrengungen und nachhaltige Lösungen.,B1
der Schrank,шкаф,"Bitte räume die Kleidung in den Schrank, damit es ordentlich aussieht.",A1
integrieren,интегрировать,"Es ist wichtig, neue Technologien in den Arbeitsablauf zu integrieren.",B2
das Heim,дом,Nach einem langen Tag freut sich jeder auf sein gemütliches Heim.,B1
automatisch,автоматически,"Die Tür öffnet sich automatisch, wenn man sich nähert.",A2
schick,шикарный,Sie trug ein sehr schickes Kleid.,B1
der Vogel,птица,Ein kleiner Vogel sitzt auf dem Ast und singt.,A1
das Inserat,объявление,Sie fand eine passende Wohnung durch ein Inserat in der Zeitung.,B1
der Bus,автобус,"Wir nehmen den Bus, um zur Arbeit zu fahren, da es schneller ist.",A1
die Treppe,лестница,"Wir nahmen die Treppe statt des Aufzugs, um ein paar Kalorien zu verbrennen.",A1
die Jeans,джинсы,Sie trug eine bequeme Jeans und ein einfaches T-Shirt.,A1
